Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,
318,10.6,0.473135,-0.001883,0.03264,,,,,,,,,,,,,,
319,10.633333,0.473157,-0.001879,0.032567,,,,,,,,,,,,,,
320,10.666667,0.473164,-0.001845,0.032571,,,,,,,,,,,,,,
321,10.7,0.473165,-0.001886,0.032558,,,,,,,,,,,,,,
322,10.733333,0.473169,-0.001882,0.032516,,,,,,,,,,,,,,
323,10.766667,0.473174,-0.001885,0.032494,,,,,,,,,,,,,,
324,10.8,0.473188,-0.001894,0.032489,,,,,,,,,,,,,,
325,10.833333,0.473181,-0.001891,0.032474,,,,,,,,,,,,,,
326,10.866667,0.47319,-0.001894,0.032444,,,,,,,,,,,,,,
327,10.9,0.473194,-0.001892,0.032435,,,,,,,,,,,,,,
328,10.933333,0.473194,-0.001895,0.032429,,,,,,,,,,,,,,
329,10.966667,0.473205,-0.001902,0.032403,,,,,,,,,,,,,,
330,11,0.473208,-0.001894,0.032387,,,,,,,,,,,,,,
331,11.033333,0.473205,-0.001905,0.032388,,,,,,,,,,,,,,
332,11.066667,0.473215,-0.001898,0.032365,,,,,,,,,,,,,,
333,11.1,0.473215,-0.001891,0.032346,,,,,,,,,,,,,,
334,11.133333,0.47322,-0.0019,0.032343,,,,,,,,,,,,,,
335,11.166667,0.473226,-0.001915,0.032319,,,,,,,,,,,,,,
336,11.2,0.473247,-0.001954,0.032219,,,,,,,,,,,,,,
337,11.233333,0.473311,-0.002005,0.031983,,,,,,,,,,,,,,
338,11.266667,0.473452,-0.002207,0.031266,,,,,,,,,,,,,,
339,11.3,0.473622,-0.002373,0.030349,,,,,,,,,,,,,,
340,11.333333,0.473802,-0.002657,0.02942,,,,,,,,,,,,,,
341,11.366667,0.473977,-0.003011,0.028571,,,,,,,,,,,,,,
342,11.4,0.474023,-0.0032,0.028108,,,,,,,,,,,,,,
343,11.433333,0.47403,-0.003237,0.02804,,,,,,,,,,,,,,
344,11.466667,0.474017,-0.003265,0.028044,,,,,,,,,,,,,,
345,11.5,0.474003,-0.003302,0.027771,,,,,,,,,,,,,,
346,11.533333,0.474002,-0.003319,0.027476,,,,,,,,,,,,,,
347,11.566667,0.474007,-0.003314,0.027438,,,,,,,,,,,,,,
348,11.6,0.473996,-0.003287,0.0276,,,,,,,,,,,,,,
349,11.633333,0.473995,-0.003282,0.027617,,,,,,,,,,,,,,
350,11.666667,0.474004,-0.003277,0.027525,,,,,,,,,,,,,,
351,11.7,0.474,-0.00328,0.027573,,,,,,,,,,,,,,
352,11.733333,0.473981,-0.003288,0.027766,,,,,,,,,,,,,,
353,11.766667,0.473983,-0.003247,0.028176,,,,,,,,,,,,,,
354,11.8,0.474041,-0.003235,0.028653,,,,,,,,,,,,,,
355,11.833333,0.474176,-0.003201,0.029074,,,,,,,,,,,,,,
356,11.866667,0.474256,-0.003205,0.029395,,,,,,,,,,,,,,
357,11.9,0.474399,-0.003118,0.030021,,,,,,,,,,,,,,
358,11.933333,0.474706,-0.002829,0.03067,,,,,,,,,,,,,,
359,11.966667,0.474815,-0.002793,0.0311,,,,,,,,,,,,,,
360,12,0.474976,-0.002627,0.031292,,,,,,,,,,,,,,
361,12.033333,0.475046,-0.002614,0.031616,,,,,,,,,,,,,,
362,12.066667,0.47511,-0.002571,0.031879,,,,,,,,,,,,,,
363,12.1,0.475154,-0.002519,0.031887,,,,,,,,,,,,,,
364,12.133333,0.475089,-0.002596,0.031665,,,,,,,,,,,,,,
