Format Version,1.23,Take Name,cturtlebot,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2023-04-11 01.20.06.963 PM,Total Frames in Take,1056,Total Exported Frames,1056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081
,ID,"C3AE0","C3AE0","C3AE0","C3AF0","C3AF0","C3AF0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
289,9.633333,0.471634,-0.003702,0.145025,0.445231,0.000369,0.161428
290,9.666667,0.471653,-0.003686,0.145055,0.445246,0.000389,0.161453
291,9.700000,0.471651,-0.003680,0.145034,0.445241,0.000390,0.161431
292,9.733333,0.471663,-0.003681,0.145064,0.445252,0.000393,0.161462
293,9.766667,0.471788,-0.003640,0.145100,0.445314,0.000454,0.161601
294,9.800000,0.472158,-0.003226,0.145939,0.445395,0.000838,0.162624
295,9.833333,0.472196,-0.003217,0.146514,0.445325,0.000772,0.163336
296,9.866667,0.472055,-0.003396,0.147281,0.445160,0.000640,0.163956
297,9.900000,0.471736,-0.003029,0.148501,0.444780,0.000693,0.165219
298,9.933333,0.471554,-0.003078,0.149636,0.444554,0.000783,0.166348
299,9.966667,0.471290,-0.003127,0.150634,0.444233,0.000593,0.167284
300,10.000000,0.471469,-0.003197,0.151513,0.444502,0.000885,0.168141
301,10.033333,0.471497,-0.003200,0.153422,0.444548,0.000746,0.170098
302,10.066667,0.471895,-0.003262,0.155202,0.444859,0.000617,0.171865
303,10.100000,0.472015,-0.003490,0.156040,0.445045,0.000458,0.172705
304,10.133333,0.472086,-0.003428,0.156246,0.445056,0.000461,0.172945
305,10.166667,0.472060,-0.003493,0.156134,0.445078,0.000418,0.172850
306,10.200000,0.472019,-0.003527,0.156068,0.445068,0.000423,0.172774
307,10.233333,0.471970,-0.003421,0.156192,0.445003,0.000472,0.172920
308,10.266667,0.472029,-0.003502,0.156117,0.445052,0.000438,0.172818
309,10.300000,0.472037,-0.003508,0.156128,0.445059,0.000435,0.172834
310,10.333333,0.472007,-0.003482,0.156209,0.445032,0.000448,0.172931
311,10.366667,0.471991,-0.003466,0.156101,0.445030,0.000465,0.172818
312,10.400000,0.472052,-0.003521,0.156189,0.445074,0.000431,0.172905
313,10.433333,0.472027,-0.003462,0.156180,0.445053,0.000480,0.172894
314,10.466667,0.471992,-0.003484,0.156116,0.445042,0.000457,0.172840
315,10.500000,0.472071,-0.003500,0.156205,0.445094,0.000455,0.172926
316,10.533333,0.471962,-0.003415,0.156244,0.445041,0.000436,0.172893
